Sentiment,User,Post Content
Neutral,Artos_Nerii,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,MKgubernaculum,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,Bootlegging101,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,thien3000,@MattWalshBlog LOL!!! They paid more attention to a fart from Ivanka’s teenage years than to quarantine violations… https://t.co/zgvmWFJv0c
Neutral,LizMcDonal,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,WalterJWinchell,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,MarcR138,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,mokoshoko58,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,ofpeopl,RT @seungminkim: Senate President Pro Tem @ChuckGrassley says he is immediately quarantining after exposure to coronavirus. Says he feels f…
Neutral,MainlineGram,@Lwilson81234 @NVGhost005 @therecount Covid has a two week quarantine. So anyone who attended those rallies is sure… https://t.co/ef4pFBy0c6
Neutral,ConservativeGM,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,mrain111,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,ricky_low2,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,pw1331,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,kia_kan,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,Debrlde,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,kikilauridsen,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,365alphaomega,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,NoLambHere,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,SealBeachGene,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,sheppmrtx,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,edlsen,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,mzee26,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,rac80,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,BalcerzakJeff,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,mytheo1,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,Echo2323,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,sweetttpea143,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,elliemaygottasa,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,DeepSouthProud,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,Bulldog665,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,justJudyZee,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,nofeargage,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,rurallife57,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,JoyTimesFour,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,PraireSage,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,deborah_bivens,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
Neutral,Roses4Justice,RT @SMBPC: @RealJamesWoods Georgia should impose a six week COVID quarantine on anyone coming from California to interfere in Senate electi…
