Sentiment,User,Post Content
Negative,AdoreAppys,"RT @EndLockDown: This was always the Democrat plan regarding the fraud.

If Biden falls out with VP Harris, HE will resign.

Think about wh…"
Negative,The_Dude18,"#ControlaVirus #Plannedemic #Plandemic #Scamdemic #nomoremasks #WeWillNotComply #WeWillNotSubmit
#NoMoreLockdowns"
Negative,chadabizeid,"NO MORE TYRANNY
NO MORE LOCKDOWNS
NO MORE MASKS
NO MORE DEMOCRATIC FRAUDS

💥 STAND UP PATRIOTS 💥

#NoMoreLockdowns"
Negative,BattleBornMaga,"RT @chadabizeid: NO MORE TYRANNY
NO MORE LOCKDOWNS
NO MORE MASKS
NO MORE DEMOCRATIC FRAUDS

💥 STAND UP PATRIOTS 💥

#NoMoreLockdowns"
Negative,DenaJMurphy,RT @DaveSmartypants: @bennyjohnson STRENGTH IN NUMBERS! #MAGA #NOLOCKDOWNS
Positive,CyberRabid,"@McmlixM That comes after President Trump is declared the winner of the 2020 presidential election.

#Antifa
#BlackLivesMatter 

#StayHome"
Positive,rogerwright533,"Tyrant @MayorOfLA @ericgarcetti dictates LA residents to ""#stayathome"" (@DailyMailUK via #Infowars)… https://t.co/lL7U2OP7ZD"
Neutral,rmw1881,"No masks.  No quarantines.  No Dr. Fauci. No Biden anyone. Plus much, much more..."
Neutral,Josef86735145,RT @Leticia2020MAGA: And in NM if you lived on a reservation and were quarantined the democrats delivered provisional ballots to your house…
Neutral,t60579834,RT @Leticia2020MAGA: And in NM if you lived on a reservation and were quarantined the democrats delivered provisional ballots to your house…
Neutral,FrankBrun1,RT @TweedDriftwood: I've heard the cots inside the quarantine camps have mattresses made out of left over biden ballots.
Neutral,cpthavoc1,This never-Trumper POS continues to ignore our constitutional rights and would quarantine the population along with… https://t.co/dBpMsdOrX2
Neutral,Angelicanang,"I suspect he's going to CONVENIENTLY test positive for COVID right before &amp; have to ""self quarantine"".......UNTIL H… https://t.co/cS21Bp5JS5"
Neutral,Headless131,"The second idea: the instant quarantine is over, massive protests everywhere. #Resistance, we must take to the stre… https://t.co/M4g8dNflDo"
Neutral,AverseLoon,"RT @3days3nights: Q said 70% were corrupt.
Trump cannot show favoritism. 
GOP self quarantines? Why?
Military Tribunals now active?
1st for…"
Neutral,pgreco0266,BIDEN's '100 Day' Mandate #COVID19 #BidenWasNotElected #CovidLockdown https://t.co/jYwFuGGxEY
Neutral,dombpodcast,"Anyone else tired of the #CovidLockdowns? Well this Michigan Business owner is!

#MAGA

https://t.co/132hqwLNLW"
Neutral,sc007kc,"RT @KristiNoem: Just like we said, Biden's team wants lockdowns.

We already know that lockdowns DON'T stop the spread of the virus. Howeve…"
Neutral,ArgoTTV,"RT @LegendaryEnergy: I still stand by:

If Biden wins, the lockdowns continue &amp; get worse

If Trump wins, the lockdowns continue &amp; get wors…"
Neutral,hsgr_h,"RT @LegendaryEnergy: I still stand by:

If Biden wins, the lockdowns continue &amp; get worse

If Trump wins, the lockdowns continue &amp; get wors…"
Neutral,thehiredmind,"""two week lockdown"""
Neutral,kim10202090,@drdavidsamadi Trump president and NO LOCKDOWN
Neutral,Hooch01Kathy,With more of an older generation than most states in lockdown
Neutral,SecChi71,#COVID19 #Masks #lockdown #JoeBiden #dictator
Neutral,SneakyChi,"RT @thehiredmind: ""two week lockdown"""
Neutral,BarackDondoy,He will fund the pandemic lockdown for sure.
Neutral,eleynamatthews,@drdavidsamadi Lockdown ended. Masks off. Trump sworn in.
Neutral,imoAmerican,@drdavidsamadi Trump being sworn in. An end to these senseless lockdowns.
Neutral,mdrake1679,"@drdavidsamadi Trump elected for a second term, no lockdowns and no masks!"
Neutral,LivingOhioDream,"@drdavidsamadi Trump be reelected, Covid disappears, no more lockdowns were masks"
Neutral,LindaStraw3,Lockdowns for rioting when election decided for President Trump?🤔
Neutral,rightmom65,@kirstiealley They should all do like Pres. Trump and donate their salaries during lockdown.
Neutral,TrumpofGod2020,"@drdavidsamadi An end to ""lockdowns"" and the inauguration of Donald J Trump!"
Neutral,Biedaboo,"@scullyp Did you vote to support the lockdowns?  If you did, you killed the high street!"
Neutral,charziard6,@Transport2100 @Timcast Trump isnt calling for lockdowns retard
Neutral,Tracy91392138,@ksorbs No lockdown! Trump will v Continue in the whitehouse
Neutral,dog_lady_panama,Absolutely! Screw this lockdown and re-elect President Trump as he deserves!
Neutral,John_Demp83,"@conservmillen The more lockdowns come, the more I think Democrats believe Trump is going to pull this off."
Neutral,JOSE_nm75,RT @FreedomLDW: The worst lockdown by NM Gov! Vote her out in #2022 #NMpol
