Sentiment,User,Post Content
Negative,@HappyLife1968,Antifa Terrorists UNMASKED ECHO ECHO ECHO
Negative,@HappyLife1968,Antifa Terrorists UNMASKED ECHO ECHO ECHO
Negative,@HappyLife1968,Antifa Terrorists UNMASKED ECHO ECHO ECHO
Neutral,@Gatgoesblat,"It’s almost like masks and social distancing aren’t about the China Flu, but are all about control and division. But what do I know? #ChinaFlu"
Neutral,@Joannsharples123,If you want to see what are in vaccines go to List of Vaccine Ingredients-Wikipedia. Very interesting. Just finished reading Plague of Corruption. 😱😱😱
