Sentiment,User,Post Content
Positive,MAGA_GUY2020,"RT @ALIAMALIKDEN: Alas :: America Betrayed Trump !!!

#Trump 
#Trump2020 
@realDonaldTrump
 #StayHomeAl https://t.co/osGiXjWj5S"
Neutral,FKGPML,"RT @viesvies1: @RishiSunak So #Lockdown3 4 5 6 7 already planned then.
Thanks for nothing.
You won't be receiving my vote again. Ever!
#Tor…"
Neutral,TDHawks7,@WLNS How do they enforce this?  They can't.  If they ask you if you've quarantined for 14 days tell the you quaran… https://t.co/qYmpsu10AH
Neutral,philly_horse,@radical_cee @real_BradleyT @JoeBiden I suggest quarantining the elderly and the people who are immunocompromised a… https://t.co/wwozxjLYLY
Neutral,MsAnthropist365,RT @brando_dean: Supreme Court justices should be quarantined for life with no access to outside media and no access to each other.  Just t…
Neutral,southerndell695,Have you noticed that the top Trump people got Covid or have been quarantined and very few Democrats have been quar… https://t.co/dqX15w4w6y
Neutral,annebeauchamp12,"@JoeBiden 'Quarantine' is when you restrict the movement of sick people
'Tyranny' is when you restrict the movement… https://t.co/l965xQWiFw"
Neutral,GOGOPclub,"RT @JamesSurowiecki: Also worth remembering that Trump wanted to quarantine NY, CT, and NJ in March, and backed off when the idea was blast…"
Neutral,USAredalltheway,"RT @NickAdamsinUSA: Democrats only wanted to extend quarantines and shutdowns to 

1. Cheat with mail-in ballots
2. Keep dementia Joe Biden…"
Neutral,Lindamu9,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,abi_mondol,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,OkieNV,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,Iamcat62,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,KOPatriot45,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,WitherRocks,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,Rainbow_Whisper,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,Urbanpatriot1,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,covfefe253,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,lewlester,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,grh4345,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,RunStoical,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,USMC_3,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,R34LBeanz,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
Neutral,OctubreChica,"RT @SolidRedPeon: Georgia student violates Cayman Islands coronavirus quarantine laws, jailed for 4 months: reports

https://t.co/tCVimHG3y…"
