Sentiment,User,Post Content
Neutral,allissahodges,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,jstande2,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,KeepDON45,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,MkjkimK,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,GretaMiddendor1,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,OctubreChica,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,Hauwertsr,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,MarijaneGreen,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,Jaclynn_Hayden,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,marina_hannen,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,proudtigerlsu,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,LaurieLgbarbie,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,TheonlyMshann,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,WideAwa26871633,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,BradTho38188955,RT @ASavageNation: DO YOU REALIZE THE LOCKDOWNS ARE AN UNDECLARED MARTIAL LAW?  passed without a single VOTE!
Neutral,HerkKerk,@JoeBiden Ya because your people are pushing it on us. End lockdowns and testing. Bye bye virus
Neutral,TheRightStuff6,@HappySandrina @JoeBiden National shutdown LOL you fucking communist
Neutral,Foxrealfakenews,@realDonaldTrump 42 days until Trump leave office and Twitter shutdown all his accounts
Neutral,chuckghunter,PRES TRUMP HAD SHUTDOWN THE HOUSTON COMMIE OFFICES AND TOLD ALL TO LEAVE USA!
Neutral,J_Genesky,@MichaelRapaport is sounding like a Republican complaining about the unfairness of the shutdowns.  If you vote for… https://t.co/mSp94TRb78
Neutral,hcraig0062_h,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,FUZZY_SQCKZ,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,jmcarroll53,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,pheadrus1234,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,debele1901,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,FreelsCl,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,JamesHa54931945,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
