Sentiment,User,Post Content
Negative,MJkatzTheWriter,"#EnoughIsEnough 
#NoMoreMasks
#NoMoreLockdowns
#NoMoreLiesAndBullCrap"
Neutral,eBeaulay,"RT @simondolan: Next week, every MP will have a vote on the new Lockdown Regs.

If the Govt are defeated, Lockdowns will end. On Dec 3.

To…"
Neutral,ozbod,"RT @simondolan: Next week, every MP will have a vote on the new Lockdown Regs.

If the Govt are defeated, Lockdowns will end. On Dec 3.

To…"
Neutral,lunar_monkey,"RT @simondolan: Next week, every MP will have a vote on the new Lockdown Regs.

If the Govt are defeated, Lockdowns will end. On Dec 3.

To…"
Neutral,Jason91992445,"RT @simondolan: Next week, every MP will have a vote on the new Lockdown Regs.

If the Govt are defeated, Lockdowns will end. On Dec 3.

To…"
Neutral,DanielleSaeli,"RT @simondolan: Next week, every MP will have a vote on the new Lockdown Regs.

If the Govt are defeated, Lockdowns will end. On Dec 3.

To…"
Neutral,Stephen63390620,"RT @simondolan: Next week, every MP will have a vote on the new Lockdown Regs.

If the Govt are defeated, Lockdowns will end. On Dec 3.

To…"
Neutral,Nothing47379273,"RT @simondolan: Next week, every MP will have a vote on the new Lockdown Regs.

If the Govt are defeated, Lockdowns will end. On Dec 3.

To…"
Neutral,KingOfPentacl,"RT @simondolan: Next week, every MP will have a vote on the new Lockdown Regs.

If the Govt are defeated, Lockdowns will end. On Dec 3.

To…"
Neutral,DanielleSaeli,Lockdowns kill!
Neutral,MikeMesplay,"As soon as Biden is sworn in, no more lockdowns, watch"
Neutral,Matttrina,RT @EvanAKilgore: RT if you DON'T want @JoeBiden's nationwide lockdown.
Neutral,GermanG2017,RT @EvanAKilgore: RT if you DON'T want @JoeBiden's nationwide lockdown.
Neutral,EricHuck3,RT @EvanAKilgore: RT if you DON'T want @JoeBiden's nationwide lockdown.
Neutral,DrDHennen,"@realDonaldTrump Covid has been used to shutdown small businesses, create govt dependency, &amp; steal an election!"
Neutral,spears2345,"RT @DrDHennen: @realDonaldTrump Covid has been used to shutdown small businesses, create govt dependency, &amp; steal an election!"
