Sentiment,User,Post Content
Neutral,chickilopiccolo,RT @SunflowerSoul71: @JoeBiden I care more about lives being lost to COVID19.  The economy can be greatly helped by doing a lockdown to get…
Neutral,dumptrump1234,RT @SunflowerSoul71: @JoeBiden I care more about lives being lost to COVID19.  The economy can be greatly helped by doing a lockdown to get…
Neutral,gigimorgan15,RT @SunflowerSoul71: @JoeBiden I care more about lives being lost to COVID19.  The economy can be greatly helped by doing a lockdown to get…
Neutral,BackstreetLamb,"While it is true that lockdowns have been effective in asian countries, you are the same person who supported BLM p… https://t.co/uPbrg9gedH"
Neutral,PutinOwns45,"@charliekirk11 No shutdowns = one of the highest infections rates in the country with thousands DEAD. 

No voter fr… https://t.co/PQyxN33aT3"
Neutral,raytweetie,@govkristinoem Is one of the Rep. governors who stood behind Trump in her mockery of the shutdown mandates! (contin… https://t.co/AqvcVz2v3r
Neutral,Learn_To_Swim99,@JoeBiden After nearly a year of economic shutdown from democrat governors the unemployment rate is nearly identica… https://t.co/aZofh63G1W
Neutral,Lisasaraiva489,"So trump doesn't want a govt. Shutdown?.. 
(Dec. 11..deadline)..
Trump says NO to the 908B stimulus (bipartison)...… https://t.co/dfTuTdHOsH"
Neutral,GregLMartin1,@el_Lie_ @terrormom @TarvariousWWMT @DaveBondyTV The state can’t support a nationwide shutdown for even a week.  Th… https://t.co/RWt6yOvnx9
Neutral,christi82838001,"RT @KanekoaTheGreat: CORROBORATING EVIDENCE🚨

Fulton County election officials shutdown the State Farm Arena tabulation center at 10:30PM o…"
Neutral,edfischman,"Fascinating that the guy says he’d happily shut down for 60 days with gov’t support, as part of a legit shutdown to… https://t.co/tSnquOXZTU"
Neutral,nutmeg3isme,"RT @LookNoFurther4: There will be another fed govt shutdown unless Congress agrees on a spending bill by 12/11.  
Senate Rs want to include…"
Neutral,james_roe,"He's said for months now that he won't pursue masks mandates or lockdowns.

He's basically offering the exact same… https://t.co/2BPMyAfnPp"
Neutral,gutcheck5484,"@RubinReport I have come to believe these lockdowns are imposed to purposely strain state economies.

These Democra… https://t.co/w2e4e2Bcnd"
Neutral,gutcheck5484,"@myBurbankNEWS I have come to believe these lockdowns are imposed to purposely strain state economies.

These Democ… https://t.co/ayrbRK7QhV"
Neutral,gutcheck5484,"@ChefGruel I have come to believe these lockdowns are imposed to purposely strain state economies.

These Democrat… https://t.co/yMR5Gcs92i"
Neutral,gutcheck5484,"@NicoleArbour I have come to believe these lockdowns are imposed to purposely strain state economies.

These Democr… https://t.co/x9XNfG8kGL"
Neutral,axnegova,"RT @thebradfordfile: Trump was right about lockdowns, election fraud, trade, immigration, manufacturing, jobs, SCOTUS picks, the corrupt me…"
Neutral,Onorinaknewit,"RT @thebradfordfile: Trump was right about lockdowns, election fraud, trade, immigration, manufacturing, jobs, SCOTUS picks, the corrupt me…"
Neutral,encm2cmc,"RT @thebradfordfile: Trump was right about lockdowns, election fraud, trade, immigration, manufacturing, jobs, SCOTUS picks, the corrupt me…"
Neutral,JTMLX,"Trump, after a few weeks of lockdown, essentially embraced it, urging states to reopen. More recently, his former a… https://t.co/pnrs5noCLb"
Neutral,JTMLX,"Trump, after a few weeks of lockdown, essentially embraced it, urging states to reopen. More recently, his former a… https://t.co/uARGdxCTOy"
Neutral,DeplorableD6,"RT @thebradfordfile: Trump was right about lockdowns, election fraud, trade, immigration, manufacturing, jobs, SCOTUS picks, the corrupt me…"
Neutral,ldschafer,"RT @thebradfordfile: Trump was right about lockdowns, election fraud, trade, immigration, manufacturing, jobs, SCOTUS picks, the corrupt me…"
Neutral,boris05709079,"RT @thebradfordfile: Trump was right about lockdowns, election fraud, trade, immigration, manufacturing, jobs, SCOTUS picks, the corrupt me…"
Neutral,KirkRaider1,"RT @thebradfordfile: Trump was right about lockdowns, election fraud, trade, immigration, manufacturing, jobs, SCOTUS picks, the corrupt me…"
Neutral,EvalinaBlue,"RT @thebradfordfile: Trump was right about lockdowns, election fraud, trade, immigration, manufacturing, jobs, SCOTUS picks, the corrupt me…"
