Negative,conservative,@AnthonyLiCausi,#endthelockdown #wakeupamerica
Negative,conservative,@chriskoerb,Because First Amendment rights only apply to the Leftists.  #covid19 #endthelockdown
Negative,conservative,@and503,"Welcome to the People's Republic of Oregon! Where you'll be slapped with a $100.00 fine if you get caught with hard drugs, but fine $1250 plus 30 days in jail if you have gatherings more than six people. #oregon #flushdownkatebrown #covid19 #lockdown #endthelockdown #recallkatebrown #katebrown"
Negative,conservative,@GayConservBoy,"If lockdowns and mask mandates work so well, why are cases still ‘spiking’? 🤔 😷 I say we shouldn’t cancel Thanksgiving, Christmas or New Years. We should cancel Lockdowns.  🦃 🎄 🎊 #covid19hoax #endthelockdown #masksdontwork #thanksgiving2020 #christmas2020"
Negative,conservative,@Crummybaker,WATCH: German Anti-lockdown activist Dr. Andreas Noack home is raided during live stream. Is this what we have to look forward to if we celebrate Thanksgiving? #nomasks #masks #masksdontwork #covid19 #covid #covid19hoax #lockdown #thanksgiving #democratsarecorrupt #tyranny #parler #endthelockdown #news #trump #savethesteal #releasethekraken
Negative,conservative,@bpeterssquare,"Top Canadian Pathologist Tells Alberta Government COVID Is “The Greatest Hoax Ever Perpetrated On An Unsuspecting Public”.  Top Canadian pathologist Dr. Roger Hodkinson told Alberta government officials that the current coronavirus crisis is “the greatest hoax ever perpetrated on an unsuspecting public.” “There is utterly unfounded public hysteria driven by the media and politicians, it’s outrageous, this is the greatest hoax ever perpetrated on an unsuspecting public,” said Hodkinson. Last time I checked a pathologist was a scientist. So this must be “science”.  #covid19 #covid19hoax #coronavirus #coronavirushoax #coronaviruspandemic #coronahoax #refusecurfews #nocurfew #nomasks #masksdontwork #fightback #patriotsfight #keepfighting #wwg1wga #endthelockdown #resisttyranny #fightforfreedom"
Negative,conservative,@JGaudio77,Just a thought if the government doesn’t get their shit together. The 74 million people who voted for Trump are going to not voted for the current republicans in senate or house. Now would be the time to get this crap fixed and end lockdowns in shit states with shit governors.  @SeanHannity   @TedCruz   @Marklevinshow   @Devinnunes   @TuckerCarlson
Negative,conservative,@Josephbuliga0,All an exaggeration! One big political stunt! #trump2020 #nomorelockdowns
Negative,conservative,@AshleyGarbee,Yasssss!!! #texasborn #texastillthedayidie #godblesstexas #keepitred #dontcaliforniamytexas #cuteservativesoftexas #covid19 #nomorelockdowns
Negative,conservative,@JohnTylerPatriot,📣ECHO📣ECHO📣 All New Yorkers. The time has come to turn up the heat on the unhinged Governor and his crime family.  Continue the protests.  Call your local politicians (State and Federal).  Tell them you want transparency.  Tel them you want the lockdowns to end.  Tell State lawmakers to take back Cuomos unchecked power over the lives of millions of us as he continues to completely collapse our economy and cast us into oblivion.  The time is now.  Not tomorrow.  Not after Trump wins his court cases.  Not after Christmas.  Now.  Look up “vote for Cuomo not the homo” see for yourself how vile he is.  #takebackNewYork #arrestcuomo #indictcuomo #cuomovirus #cuomomegalomaniac #cuomokilledthousands #voteforcuomonotthehomo #cuomomafia #impeachcuomo #cuomocrimefamily #fredosbrother #ilducecuomo #nomorelockdowns @nygovcuomo @marklevinshow @ryanafournier @tuckercarlson @Liloudmajority @therealjameswoods @erictrump @donaldjtrumpjr @dbongino  @newsmax  @oann  @RepLeeZeldin   @NMalliotakis
Negative,conservative,@JimJordan,Democrats: “No Thanksgiving this year.” President Trump: “No more lockdowns.”
Negative,conservative,@JimJordan,Democrats: “No Thanksgiving this year.” President Trump: “No more lockdowns.”
Negative,conservative,@JimJordan,Democrats: “No Thanksgiving this year.” President Trump: “No more lockdowns.”
Negative,conservative,@JimJordan,Democrats: “No Thanksgiving this year.” President Trump: “No more lockdowns.”
Negative,conservative,@JimJordan,Democrats: “No Thanksgiving this year.” President Trump: “No more lockdowns.”
Negative,conservative,@JimJordan,Democrats: “No Thanksgiving this year.” President Trump: “No more lockdowns.”
Negative,conservative,@JimJordan,Democrats: “No Thanksgiving this year.” President Trump: “No more lockdowns.”
Negative,conservative,@JimJordan,Democrats: “No Thanksgiving this year.” President Trump: “No more lockdowns.”
Negative,conservative,@JimJordan,Democrats: “No Thanksgiving this year.” President Trump: “No more lockdowns.”
Negative,conservative,@DepLAURAble1975,Open America up fully! No more lockdowns. No mandates. OPEN UP AMERICA NOW!
Negative,conservative,@Jmcl99,Mr. Biden and Democratic Governor s. We have a Bill of Rights. Freedom of Assembly and right to Privacy. I’ll be having a Thanksgiving feast and you can’t stop me! Fu@k off no more lockdowns and no more quarantine unless you are sick.
Negative,conservative,@Josephbuliga0,Don’t understand why people have to be sheep? #trump #trump2020 #nomoreshutdowns #nomoresheep
Negative,conservative,@historyandpolyscibuff,#freeus #reopenamerica
Negative,conservative,@civildebate2017,One of the few decent journalists left at #foxnews .com division -  #nyc #deblasio #newyork #schools #protest #reopenamerica
Negative,conservative,@JazzyL,Who is getting rich off of Covid??? The question is the answer! #reopenamerica #openohionow #masksdontwork #thecureisworsethanthedisease #99percentsurvivalrate #democratsaredestroyingamerica #impeachdewine #fakenewsmedia #novaccineforme #billgatesisevil #exposebillgates
Negative,conservative,@Jemr67,#newYork! is dead thanks to #NYsFredo & #NYComrade Of course NYers are suffering #SaveNYC #SaveTheWorld #openamericanow
Negative,conservative,@Bobmcevoy,"Amazon’s fat-cat directors must be very pleased with Arlene. Her U-Turn has simultaneously boosted their pre-Christmas sales, while destroying their opposition, the local High Streets and shopping centres. #COVID19 #LockdownChaos"
